analysis_scope,state,method,buffer_m,variable,frozen_weight_variable,fips,county,metric_value,standardized_value,spatial_lag,local_moran_i,expected_local_i,variance_sim,z_sim,p_z_sim_one_sided,p_z_sim_two_sided_approx,p_sim_directed_legacy,p_sim_two_sided,formal_p_value_field,two_sided_derivation,raw_alpha,raw_significant,fdr_family_id,fdr_n_tests,fdr_alpha,fdr_critical_p,fdr_significant,quadrant,library_quadrant_code_audit,raw_cluster_type,formal_fdr_cluster_type,neighbor_count,is_island,weights_sha256,permutations,random_seed,n_jobs,status,frozen_weight_method
county_within_state_patch75_500m,AL,WUI-P,500,p_a,area_proportion,1001,Autauga,0.511385132688,1.540254724681,0.177652888887,0.269546661142,-0.069364073154,0.426102599126,0.519192287861,0.301813328270,0.603626656540,0.292000000000,0.583000000000,p_sim_two_sided,stored_conditional_simulations_esda210_public_logic,0.050000000000,False,AL__WUIP__p_a,67,0.050000000000,0.000746268657,False,HH,1.000000000000,NOT_SIGNIFICANT,NOT_SIGNIFICANT,5,False,c410fed375d8e4521a34ec3bc4380221f6876c3c44ea71cbfd1defd5caba8680,999,20260728.000000000000,1,FORMAL_COMPLETE,WUI-P
county_within_state_patch75_500m,AL,WUI-P,500,p_a,area_proportion,1003,Baldwin,0.296277434921,0.536773671827,-0.417135793311,-0.220565608270,-0.016418594786,0.053407108230,-0.883371735141,0.188517728503,0.377035457007,0.197000000000,0.393000000000,p_sim_two_sided,stored_conditional_simulations_esda210_public_logic,0.050000000000,False,AL__WUIP__p_a,67,0.050000000000,0.000746268657,False,HL,4.000000000000,NOT_SIGNIFICANT,NOT_SIGNIFICANT,5,False,c410fed375d8e4521a34ec3bc4380221f6876c3c44ea71cbfd1defd5caba8680,999,20260728.000000000000,1,FORMAL_COMPLETE,WUI-P
county_within_state_patch75_500m,AL,WUI-P,500,p_a,area_proportion,1005,Barbour,0.000140224759,-0.844711428555,-0.388567295428,0.323328321253,0.007196485292,0.130915020612,0.873722448814,0.191134711280,0.382269422559,0.195000000000,0.389000000000,p_sim_two_sided,stored_conditional_simulations_esda210_public_logic,0.050000000000,False,AL__WUIP__p_a,67,0.050000000000,0.000746268657,False,LL,3.000000000000,NOT_SIGNIFICANT,NOT_SIGNIFICANT,5,False,c410fed375d8e4521a34ec3bc4380221f6876c3c44ea71cbfd1defd5caba8680,999,20260728.000000000000,1,FORMAL_COMPLETE,WUI-P
county_within_state_patch75_500m,AL,WUI-P,500,p_a,area_proportion,1007,Bibb,0.327712093675,0.683416887249,0.250521370749,0.168655154261,-0.017112452169,0.068558973869,0.709476199502,0.239014508018,0.478029016036,0.230000000000,0.459000000000,p_sim_two_sided,stored_conditional_simulations_esda210_public_logic,0.050000000000,False,AL__WUIP__p_a,67,0.050000000000,0.000746268657,False,HH,1.000000000000,NOT_SIGNIFICANT,NOT_SIGNIFICANT,6,False,c410fed375d8e4521a34ec3bc4380221f6876c3c44ea71cbfd1defd5caba8680,999,20260728.000000000000,1,FORMAL_COMPLETE,WUI-P
county_within_state_patch75_500m,AL,WUI-P,500,p_a,area_proportion,1009,Blount,0.597515878255,1.942056111345,1.060137778576,2.028117991277,-0.079560082007,0.531976123333,2.889736259175,0.001927825788,0.003855651575,0.005000000000,0.009000000000,p_sim_two_sided,stored_conditional_simulations_esda210_public_logic,0.050000000000,True,AL__WUIP__p_a,67,0.050000000000,0.000746268657,False,HH,1.000000000000,HH,NOT_SIGNIFICANT,6,False,c410fed375d8e4521a34ec3bc4380221f6876c3c44ea71cbfd1defd5caba8680,999,20260728.000000000000,1,FORMAL_COMPLETE,WUI-P
county_within_state_patch75_500m,AL,WUI-P,500,p_a,area_proportion,1011,Bullock,0.250219702583,0.321913570499,-0.052155913051,-0.016539103712,-0.007863761969,0.019170048422,-0.062657777590,0.475019509947,0.950039019894,0.485000000000,0.969000000000,p_sim_two_sided,stored_conditional_simulations_esda210_public_logic,0.050000000000,False,AL__WUIP__p_a,67,0.050000000000,0.000746268657,False,HL,4.000000000000,NOT_SIGNIFICANT,NOT_SIGNIFICANT,5,False,c410fed375d8e4521a34ec3bc4380221f6876c3c44ea71cbfd1defd5caba8680,999,20260728.000000000000,1,FORMAL_COMPLETE,WUI-P
county_within_state_patch75_500m,AL,WUI-P,500,p_a,area_proportion,1013,Butler,0.000000000000,-0.845365579431,-0.841568621598,0.700814740272,-0.000598622238,0.105791836898,2.156492521031,0.015522613572,0.031045227143,0.004000000000,0.007000000000,p_sim_two_sided,stored_conditional_simulations_esda210_public_logic,0.050000000000,True,AL__WUIP__p_a,67,0.050000000000,0.000746268657,False,LL,3.000000000000,LL,NOT_SIGNIFICANT,6,False,c410fed375d8e4521a34ec3bc4380221f6876c3c44ea71cbfd1defd5caba8680,999,20260728.000000000000,1,FORMAL_COMPLETE,WUI-P
county_within_state_patch75_500m,AL,WUI-P,500,p_a,area_proportion,1015,Calhoun,0.592134850592,1.916953526171,1.202230190629,2.270222098669,-0.108879047567,0.630477974009,2.996249308194,0.001366614360,0.002733228721,0.003000000000,0.005000000000,p_sim_two_sided,stored_conditional_simulations_esda210_public_logic,0.050000000000,True,AL__WUIP__p_a,67,0.050000000000,0.000746268657,False,HH,1.000000000000,HH,NOT_SIGNIFICANT,5,False,c410fed375d8e4521a34ec3bc4380221f6876c3c44ea71cbfd1defd5caba8680,999,20260728.000000000000,1,FORMAL_COMPLETE,WUI-P
county_within_state_patch75_500m,AL,WUI-P,500,p_a,area_proportion,1017,Chambers,0.000000000000,-0.845365579431,-0.696580824343,0.580076415591,0.014917330163,0.207941435481,1.239367760739,0.107604667522,0.215209335043,0.146000000000,0.291000000000,p_sim_two_sided,stored_conditional_simulations_esda210_public_logic,0.050000000000,False,AL__WUIP__p_a,67,0.050000000000,0.000746268657,False,LL,3.000000000000,NOT_SIGNIFICANT,NOT_SIGNIFICANT,3,False,c410fed375d8e4521a34ec3bc4380221f6876c3c44ea71cbfd1defd5caba8680,999,20260728.000000000000,1,FORMAL_COMPLETE,WUI-P
county_within_state_patch75_500m,AL,WUI-P,500,p_a,area_proportion,1019,Cherokee,0.356801600370,0.819119928602,1.173617216509,0.946984993121,-0.036757729628,0.140381504650,2.625588044552,0.004324971750,0.008649943500,0.007000000000,0.013000000000,p_sim_two_sided,stored_conditional_simulations_esda210_public_logic,0.050000000000,True,AL__WUIP__p_a,67,0.050000000000,0.000746268657,False,HH,1.000000000000,HH,NOT_SIGNIFICANT,4,False,c410fed375d8e4521a34ec3bc4380221f6876c3c44ea71cbfd1defd5caba8680,999,20260728.000000000000,1,FORMAL_COMPLETE,WUI-P
